births_known,county,fips,low_birth_weight,late_or_no_prenatal,prenatal_known,tobacco_known,tobacco_yes,age_15_19,age_35_plus,age_known,low_birth_weight_pct,late_or_no_prenatal_pct,tobacco_use_pct,maternal_age_15_19_pct,maternal_age_35_plus_pct,fips_st_cnty,st_name_abbrev,ahrf_county,rural_urban_continuum_code,primary_care_hpsa,population_2024,median_household_income,poverty_pct,uninsured_under65_pct,obgyn_count,midwife_count,obstetric_hospital_count,population_density,obgyn_per_100k,midwives_per_100k,obstetric_hospitals_per_100k,log_population_density,cross_validated_prediction,cross_validated_residual
9683,"Tippecanoe County, IN",18157,872,2121,9669,9680,589,425,1510,9689,9.00547351027574,21.936084393422277,6.0847107438016526,4.386417586954278,15.584683661884611,18157,IN,"Tippecanoe, IN",3.0,1,191650.0,58622.0,19.0,8.7,23.0,7.0,2.0,373.3,12.001043569006,3.652491521001826,1.0435690060005218,5.925057614910384,10.086813058194322,-1.0813395479185814
10665,"Vanderburgh County, IN",18163,1014,1867,10663,10643,842,588,1370,10666,9.507735583684951,17.509143768170308,7.911303203983839,5.512844552784549,12.844552784549034,18163,IN,"Vanderburgh, IN",2.0,1,180387.0,60938.0,14.4,7.9,18.0,1.0,1.0,771.8,9.978546125829466,0.5543636736571925,0.5543636736571925,6.650020282898308,9.055539843243805,0.4521957404411463
5526,"Vigo County, IN",18167,487,1096,5539,5531,746,400,535,5538,8.812884545783568,19.786965156165373,13.487615259446754,7.222824124232575,9.660527266161068,18167,IN,"Vigo, IN",3.0,1,106166.0,52525.0,20.0,9.3,13.0,2.0,1.0,263.0,12.244974850705498,1.883842284723923,0.9419211423619614,5.575949103146316,10.49596096807867,-1.6830764222951018
7911,"Black Hawk County, IA",19013,712,1721,7908,7911,704,329,1145,7907,9.00012640626975,21.76277187658068,8.899001390468968,4.160870115087897,14.480839762235993,19013,IA,"Black Hawk, IA",3.0,1,132348.0,64581.0,14.7,5.2,12.0,16.0,2.0,231.8,9.067005168192946,12.089340224257262,1.5111675280321577,5.450179715857283,8.84768729170263,0.15243911456711956
8264,"Johnson County, IA",19103,588,1387,8269,8271,187,158,1906,8269,7.115198451113263,16.773491353247067,2.2609116189094425,1.9107509977022614,23.04994557987665,19103,IA,"Johnson, IA",3.0,1,160080.0,74721.0,16.7,5.0,57.0,13.0,1.0,249.4,35.6071964017991,8.120939530234882,0.624687656171914,5.523059639225943,7.671047307455503,-0.5558488563422399
12830,"Linn County, IA",19113,903,1967,12824,12831,852,404,2150,12835,7.038191738113796,15.338427947598253,6.640168342296002,3.1476431632255553,16.75107128944293,19113,IA,"Linn, IA",2.0,1,231762.0,76421.0,9.9,4.3,17.0,2.0,2.0,321.2,7.335111019062659,0.8629542375367835,0.8629542375367835,5.7751724707428735,7.473998869159589,-0.4358071310457925
32053,"Polk County, IA",19153,2478,6031,32031,32037,1787,1192,5599,32065,7.730945621314698,18.828634760076177,5.577925523613322,3.7174489318571653,17.461406518010293,19153,IA,"Polk, IA",2.0,1,516185.0,81621.0,10.1,5.5,39.0,28.0,3.0,860.5,7.555430707982603,5.424411790346484,0.5811869775371233,6.758675055967984,8.38429662554056,-0.653351004225863
9519,"Scott County, IA",19163,751,1515,9510,9534,650,448,1542,9533,7.889484189515706,15.930599369085174,6.817705055590518,4.6994650162593095,16.175390747928247,19163,IA,"Scott, IA",2.0,1,175601.0,76363.0,11.6,5.8,16.0,11.0,2.0,381.3,9.111565423887107,6.264201228922387,1.1389456779858884,5.946205640702368,8.279249113272433,-0.38976492375672755
7057,"Woodbury County, IA",19193,558,1732,7058,7064,603,382,986,7058,7.907042652685277,24.53952961178804,8.536240090600227,5.4122981014451685,13.969963162368943,19193,IA,"Woodbury, IA",3.0,1,107257.0,70147.0,13.3,7.1,6.0,2.0,1.0,121.4,5.59404048220629,1.8646801607354297,0.9323400803677149,4.807294370078226,8.461881956513183,-0.5548393038279062
4974,"Douglas County, KS",20045,346,635,4978,4971,332,163,964,4977,6.956172094893446,12.75612695861792,6.678736672701669,3.275065300381756,19.36909785011051,20045,KS,"Douglas, KS",3.0,1,121989.0,68756.0,15.2,9.7,12.0,4.0,1.0,260.6,9.836952512111749,3.2789841707039162,0.8197460426759791,5.566816619583044,7.896080017771038,-0.9399079228775928
34400,"Johnson County, KS",20091,2254,3798,34289,34333,386,584,8221,34409,6.5523255813953485,11.076438507976318,1.1242827600267964,1.69723037577378,23.8920049986922,20091,KS,"Johnson, KS",1.0,1,632276.0,107261.0,5.3,5.9,133.0,18.0,5.0,1287.6,21.035117575236132,2.8468580177011304,0.7907938938058696,7.161311636704542,7.5007951419341525,-0.948469560538804
32691,"Sedgwick County, KS",20173,2770,4066,32635,32636,2097,1766,4701,32709,8.473280107674896,12.459016393442623,6.425419781836009,5.39912562291724,14.372191140053197,20173,KS,"Sedgwick, KS",2.0,1,536081.0,67675.0,14.0,12.3,46.0,5.0,1.0,525.4,8.580792827949509,0.9326948726032074,0.18653897452064147,6.266061380011108,8.851677817230764,-0.37839770955586793
9649,"Shawnee County, KS",20177,841,1915,9634,9567,937,639,1346,9649,8.71592911182506,19.877517126842434,9.794083829831713,6.622447922064462,13.949632086226552,20177,KS,"Shawnee, KS",3.0,1,177942.0,66043.0,12.4,10.1,17.0,12.0,2.0,328.9,9.55367479291005,6.743770442054153,1.1239617403423587,5.798789578234536,8.726395737225232,-0.010466625400171736
11829,"Wyandotte County, KS",20209,1168,3633,11725,11783,459,934,1673,11832,9.874038380251923,30.98507462686567,3.895442586777561,7.893847194050034,14.139621365787695,20209,KS,"Wyandotte, KS",1.0,1,169418.0,60582.0,17.5,15.1,43.0,6.0,2.0,1116.1,25.381010282260444,3.5415363184549458,1.1805121061516486,7.0184913205768025,11.522625067772443,-1.6485866875205204
8492,"Boone County, KY",21015,602,1856,8481,8504,473,306,1489,8502,7.089024964672633,21.88421176748025,5.5620884289746,3.599153140437544,17.513526229122558,21015,KY,"Boone, KY",1.0,0,144135.0,94752.0,6.6,4.7,11.0,7.0,0.0,552.1,7.631734138134388,4.856558087903702,0.0,6.315538817000633,8.538909444964245,-1.4498844802916127
18475,"Fayette County, KY",21067,1737,3786,18218,18448,1133,848,3589,18483,9.40189445196211,20.781644527390494,6.141587163920208,4.587999783584916,19.41784342368663,21067,KY,"Fayette, KY",2.0,1,329437.0,67631.0,15.7,7.6,91.0,15.0,3.0,1137.3,27.62288388978773,4.55322261919578,0.910644523839156,7.037291200331171,10.151700538963015,-0.7498060870009038
6688,"Hardin County, KY",21093,568,1711,6503,6662,753,373,877,6692,8.492822966507177,26.310933415346764,11.302912038426898,5.573819485953377,13.105200239091452,21093,KY,"Hardin, KY",3.0,1,112826.0,67608.0,11.7,5.9,6.0,4.0,1.0,177.6,5.31792317373655,3.545282115824367,0.8863205289560917,5.185148668442399,8.791528675823889,-0.29870570931671203
47942,"Jefferson County, KY",21111,4522,10980,46964,47447,3365,2134,8510,47952,9.432230611989487,23.37960991397666,7.092123843446371,4.4502836169502835,17.746913580246915,21111,KY,"Jefferson, KY",1.0,1,793881.0,67849.0,14.5,6.3,154.0,14.0,3.0,2056.1,19.398373307838327,1.763488482530757,0.3778903891137337,7.629052502958428,10.016724892489867,-0.5844942805003797
10877,"Kenton County, KY",21117,848,2444,10841,10877,954,535,1744,10884,7.7962673531304585,22.54404575223688,8.770800772271766,4.915472252848217,16.023520764424845,21117,KY,"Kenton, KY",1.0,0,174862.0,79421.0,11.9,5.4,16.0,7.0,1.0,1054.7,9.15007262870149,4.003156775056902,0.5718795392938432,6.961959332995649,9.102050912033826,-1.305783558903368
9065,"Warren County, KY",21227,775,2830,8704,9059,416,469,1235,9061,8.549365692222835,32.513786764705884,4.592118335357103,5.176029135856969,13.629842180774748,21227,KY,"Warren, KY",3.0,1,147936.0,64801.0,16.8,9.2,16.0,5.0,0.0,248.4,10.81548777849881,3.379839930780878,0.0,5.519058033245936,10.03123605167932,-1.4818703594564848
8238,"Ascension Parish, LA",22005,842,2200,8101,8232,115,332,1374,8230,10.220927409565428,27.157141093692136,1.3969873663751216,4.034021871202916,16.69501822600243,22005,LA,"Ascension, LA",2.0,1,133534.0,92266.0,10.3,6.5,3.0,0.0,0.0,436.3,2.246618838647835,0.0,0.0,6.080619458418875,8.632070288429174,1.5888571211362539
